age,gender,job_role,province,salary,is_married,is_hereditary,weight,height,shampoo,is_smoker,education,stress,bald_prob
27,0,1,5,7957452.757417303,1,0,54.31505252840597,170.42854234879383,3,1,0,5,Likely
53,0,1,3,7633002.755486635,1,0,72.8734035599853,165.53009655972747,3,0,0,7,Likely
37,0,0,3,6637624.864428122,1,0,46.321532719560274,154.5993882991208,2,0,0,4,Likely
36,0,2,22,3624871.391361162,1,0,51.53978079206932,167.34048078061105,0,1,2,9,More Likely
55,0,1,20,9213032.163715528,1,1,54.287045393390976,179.23514458380086,3,0,0,1,More Likely
47,1,0,1,4508320.963980014,1,0,74.79515223454992,170.54093819801352,4,1,4,3,Likely
34,1,1,12,4765811.843286794,1,1,43.65720666498628,151.0786468532541,2,0,0,2,Likely
40,1,0,29,18627756.024743803,1,0,81.1404406866772,167.49209580907765,4,0,0,1,Likely
41,1,0,0,19396218.49628526,1,0,47.95907453836393,152.09835131412126,0,1,5,4,Likely
26,1,0,32,10363501.214465223,1,1,54.04713850950633,175.79030635515412,3,1,5,1,Likely
45,1,1,31,12117177.477662869,1,1,54.54823870089213,167.85593561144924,2,1,0,3,More Likely
21,1,0,4,6867877.61087346,1,0,45.08445596353084,151.94966730965015,1,1,0,5,Likely
33,1,0,6,4466445.515080163,1,0,49.23934282053893,165.9550757927586,0,1,0,7,Likely
54,1,0,14,11474564.07920375,1,0,69.38197081746176,175.13292264233752,3,1,0,6,More Likely
38,1,2,1,10878145.36878982,1,0,53.10379390749274,187.8178380647361,0,0,0,9,More Likely
38,0,0,12,6786868.150098842,1,1,65.39398032905468,169.19265024053436,4,1,3,4,Likely
49,1,0,23,7061549.068965421,1,0,62.67634594634417,176.5756783218239,0,1,1,4,Likely
39,1,1,33,9326526.880715072,1,1,59.77094012059371,179.20138416017744,3,1,0,10,More Likely
52,1,1,14,10361307.614162909,1,1,59.36791338114057,171.5881823233802,1,0,5,6,More Likely
27,1,1,13,9426808.07292251,1,0,58.72654832780032,164.28481965960424,2,1,3,1,Likely
29,1,2,25,4157454.124423312,1,1,49.14080621061386,162.8656814976341,2,0,4,9,More Likely
45,1,0,17,6326320.571800433,1,1,57.8290886677716,174.30369183713347,4,1,5,1,More Likely
25,0,1,16,6384657.009517488,1,1,53.58237251685798,166.76985015786246,1,1,5,7,More Likely
24,1,0,28,18100469.5082584,1,0,47.00327669114197,163.1820246773474,0,0,5,5,Likely
50,1,1,31,17167729.685584538,1,0,48.00951937678133,168.95774727485494,3,0,0,8,Likely
28,1,1,20,8353226.513691081,1,0,79.91451530313417,191.6440866801736,0,0,0,3,Likely
42,1,0,27,13475833.893356089,1,1,52.18070058513232,161.2655352379778,4,0,0,4,More Likely
34,0,0,30,9880872.229498597,1,0,46.11419058598136,164.93377288358306,3,0,0,6,Likely
42,1,1,28,4523667.440353676,1,1,59.39016774555986,187.08276376582728,1,0,2,3,More Likely
40,0,0,8,6822556.511371712,1,0,67.93556956802303,175.7560996244204,2,1,2,10,Likely
54,1,0,22,9970288.90367666,1,0,47.56918387071873,160.8625655079013,4,1,4,3,Likely
40,0,0,2,6290801.288488302,1,1,46.01315087191237,151.51969054424302,1,0,3,1,Likely
45,0,1,14,13229733.178668952,1,0,50.700973722155325,150.40776654472452,3,0,0,3,Likely
44,1,1,8,13562600.51917671,1,1,46.337362465458,148.74266835948146,2,0,0,6,More Likely
43,0,1,4,5764889.365205493,1,0,47.71420146610023,163.25210042524475,4,0,0,7,Likely
36,1,0,10,20529524.496636808,1,1,57.41173947339837,161.48198224048008,3,1,0,3,More Likely
55,1,0,21,5952405.173030185,1,0,42.32687343102408,154.45918234752585,1,0,0,2,Likely
26,0,1,22,7954334.689959596,1,1,60.776154346590346,167.76833280197292,4,1,0,7,More Likely
47,1,1,33,14821027.89239698,1,0,53.96310030406501,158.1482231126776,2,1,4,10,More Likely
55,1,0,6,6711912.081060781,1,0,52.15179471615416,176.21997851407093,0,0,0,1,Likely
19,1,1,2,5756210.824078016,0,0,46.93013405473676,151.19460734361508,3,1,0,1,Likely
54,1,0,9,8163643.85400978,1,0,63.45567423558282,190.3795216477428,4,0,0,4,Likely
39,1,1,25,7083551.365662957,1,0,53.53691706756351,161.4959414314836,2,1,3,8,Likely
43,0,1,15,16629901.148527373,1,1,47.103342455800366,176.59575117164383,1,1,3,2,More Likely
47,1,1,13,11251318.071035257,1,0,59.85438135054012,163.02490517069964,4,0,0,4,Likely
40,1,0,27,12052140.050321983,1,1,63.15549232230734,162.11519650213776,0,1,0,10,More Likely
52,1,1,5,18025426.93393746,1,0,54.28844094428951,181.5435848294714,2,0,5,9,More Likely
37,1,0,5,12805715.821483923,1,0,48.98024608863397,162.27672565571154,0,1,5,4,Likely
49,1,1,15,5623732.117777767,1,0,43.98074578393688,180.10452197247903,1,0,5,1,Likely
47,1,0,5,5230531.649495021,1,0,59.46600848396579,173.31315255784435,2,0,0,9,Likely
42,0,1,31,7270300.493950615,1,0,44.658692122324446,180.93046012854128,3,0,5,1,Likely
63,1,0,27,9357449.673232162,1,0,58.916717380829866,146.3904142455741,4,0,0,8,More Likely
51,1,0,18,14343593.48339964,1,0,58.09811929439692,168.85129287317892,2,1,4,5,More Likely
34,0,1,0,5252953.787367474,1,1,68.96239094983375,185.9828100154927,2,1,3,2,Likely
44,0,1,14,5328688.903997939,1,0,44.02360368760318,157.72910210756137,0,0,5,8,Likely
54,1,0,2,4144908.7807777263,1,1,56.29823568141546,188.36921047340104,3,0,0,10,More Likely
39,0,1,24,4977624.9210223,1,0,53.678509283481375,170.56503212446,3,1,0,1,Likely
37,0,0,18,9552723.741756637,1,0,50.013737311228745,162.9396356854993,3,0,0,3,Less Likely
35,1,1,5,5551985.076696383,1,0,56.92918854091403,170.44285801301885,1,0,5,7,Likely
38,1,0,3,10072406.438462485,1,0,88.24759992085018,175.55616627755182,0,0,4,9,Likely
34,1,1,2,15344416.71208033,1,0,44.96837124875408,149.49786833503893,0,1,0,6,More Likely
62,1,0,1,4426789.40258608,1,0,60.167655798147486,166.64144120467557,4,0,5,3,Likely
18,1,0,0,8932664.817616798,0,1,57.57831556255421,177.15976854816864,0,0,0,9,Likely
35,1,1,25,8340826.649468088,1,0,52.92483076212352,165.34259516680993,2,0,0,8,Likely
36,0,0,2,6183770.527241221,1,0,55.814651909951024,184.6290169302876,2,0,0,8,Likely
29,0,1,31,14739867.147010658,1,0,50.53475458624145,159.78752144385132,3,0,5,8,Likely
50,1,1,0,5278767.601537088,1,0,57.10432550029863,184.42460268958152,1,0,2,3,Likely
23,1,0,2,10422218.612181447,1,1,57.17515934713384,174.7920296971184,0,0,0,4,Likely
49,1,0,30,6170297.674134018,1,1,55.90394695012224,153.65274987036054,3,0,0,5,Likely
33,0,1,22,8736950.830848914,1,0,56.994327934903694,163.12997052254929,2,1,5,1,Likely
50,1,1,17,10301718.18907157,1,0,63.600803886239824,154.92053050192553,3,0,0,5,Likely
43,1,1,28,12495788.609591717,1,0,72.76233674594712,178.30240074499198,3,1,5,10,More Likely
35,0,1,15,5307282.987197,1,1,56.99229109478696,177.56150837088606,1,1,0,5,More Likely
22,0,0,15,7673774.603014941,1,0,46.24307528066446,170.43776892770595,1,0,0,7,Likely
37,1,1,6,10681392.210928772,1,0,47.6636290756082,159.3793862869427,2,0,5,3,Likely
58,1,0,23,14729246.35128208,1,0,43.35222495018524,175.608279021903,2,1,0,7,More Likely
51,1,1,16,6497805.297587361,1,0,55.735650075027,182.09091602313936,3,0,5,2,Likely
50,0,1,18,7955562.003230565,1,0,51.386603150303216,155.71838091610144,1,1,3,8,Likely
18,1,0,28,17677784.969336167,0,0,45.79120266823004,163.20163474465716,4,0,5,9,Likely
26,1,0,11,4019832.867792072,1,0,59.42345741297953,174.06536428275146,2,1,0,4,Likely
36,0,0,23,6081970.552843375,1,0,51.72299444841419,177.0805696298161,0,0,0,2,Less Likely
33,1,1,28,6995538.484507648,1,1,44.72973930689736,154.31610405387448,3,0,0,6,More Likely
37,1,0,12,3634632.663319696,1,0,59.81120376327431,153.1518818196592,3,1,3,2,Likely
37,1,2,1,7094839.897517799,1,0,63.30714813292069,167.2286561220899,3,1,4,6,More Likely
